;index;EngNames;Language;Group;Family;glottocode;dialect;classes;source;source_bibtex;Lat;Lon
406;491;Sogratl';Avar;Avar;Nakh-Daghestanian;anda1281;андальский, сугратлинский;3;[Saidova 2008: 23-28];saidova2008;42.2808;46.9914
407;336;Kurkli;Lak;Lak;Nakh-Daghestanian;vicx1238;вицхинский;4;[Khaidakov 1966: 110];khaidakov1966;42.2828;47.1283
408;427;Obokh;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, обохский;3;[Saidova 2008: 23-28];saidova2008;42.28362;47.03734
409;612;Zil'mukmakhi;Dargwa;Dargwa;Nakh-Daghestanian;gaps1234;гапшиминский;3;[Koryakov 2006: 33-36];koryakov2006;42.28483;47.3958
410;226;Kara;Lak;Lak;Nakh-Daghestanian;lakk1252;;4;[Khaidakov 1966: 113];khaidakov1966;42.28724;47.17093
411;67;Burgimakmakhi;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Gasanova 1971: 38-40];gasanova1971;42.2897;47.3769
412;46;Baltamakhi;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Koryakov 2006: 33-36];koryakov2006;42.29843;47.72877
413;394;Mugi;Dargwa;Dargwa;Nakh-Daghestanian;mugi1235;мугинский;3;[Gasanova 1971: 38-40];gasanova1971;42.2989;47.4225
414;142;Gamsutl';Avar;Avar;Nakh-Daghestanian;anda1281;андальский, гамсутлинский;3;[Saidova 2008: 23-28];saidova2008;42.301972;46.996315
415;349;Kversatl';Avar;Avar;Nakh-Daghestanian;ancu1238;анцухский, кособский;3;[Saidova 2008: 23-28];saidova2008;42.302562;46.392793
416;492;Somoda;Avar;Avar;Nakh-Daghestanian;kele1253;келебский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.30272;46.5368
417;51;Batsada;Avar;Avar;Nakh-Daghestanian;;бацадинский;3;[Saidova 2008: 23-28];saidova2008;42.3036;46.9092
418;64;Burdeki;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Gasanova 1971: 38-40];gasanova1971;42.3047;47.6703
419;493;Sshulani;Avar;Avar;Nakh-Daghestanian;shul1242;шулани;3;[Saidova 2008: 23-28];saidova2008;42.3067;46.9294
