EngNames	Lat	Lon	Language	Group	Family	color	glottocode	dialect	source
Unty	42.311452	46.944631	Avar	Avar	Nakh-Daghestanian	yellow			
Kichi-Gamri	42.3125	47.7106	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kichi-Gamri	42.3125	47.7106	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kulla	42.31346	46.91014	Avar	Avar	Nakh-Daghestanian	yellow			
Kulla	42.31346	46.91014	Avar	Avar	Nakh-Daghestanian	yellow			
Kulibukhna	42.315839	47.18495	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kulibukhna	42.315839	47.18495	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Mamaaul	42.31709	47.75237	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Mamaaul	42.31709	47.75237	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsurmakhi	42.31845	47.57516	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsurmakhi	42.31845	47.57516	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Arachanamakhi	42.31923	47.58202	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Arachanamakhi	42.31923	47.58202	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kavkamakhi	42.322184	47.30588	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kavkamakhi	42.322184	47.30588	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Kamkamakhi	42.32265	47.23945	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Kamkamakhi	42.32265	47.23945	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kuba	42.3247	47.1181	Lak	Lak	Nakh-Daghestanian	violetred			
Kuba	42.3247	47.1181	Lak	Lak	Nakh-Daghestanian	violetred			
Nizhnie Mulebki	42.3281	47.5689	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Mulebki	42.3281	47.5689	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Musrukh	42.32897	46.51614	Avar	Avar	Nakh-Daghestanian	yellow			
Musrukh	42.32897	46.51614	Avar	Avar	Nakh-Daghestanian	yellow			
Khantskarkamakhi	42.330333	47.550694	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khantskarkamakhi	42.330333	47.550694	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Makhargimakhi	42.33047	47.63788	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Makhargimakhi	42.33047	47.63788	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ameterkmakhi	42.33081	47.213539	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ameterkmakhi	42.33081	47.213539	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Alikhanmakhi	42.33194	47.26602	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Alikhanmakhi	42.33194	47.26602	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khadzhalte	42.33374	47.15589	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khadzhalte	42.33374	47.15589	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Urakhi	42.3347	47.5953	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Urakhi	42.3347	47.5953	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Gasha	42.33592	47.83067	Kumyk	Kipchak	Turkic	grey60			
Gasha	42.33592	47.83067	Kumyk	Kipchak	Turkic	grey60			
Miglakasimakhi	42.33599	47.56121	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Miglakasimakhi	42.33599	47.56121	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Sangimakhi	42.33788	47.43307	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Sangimakhi	42.33788	47.43307	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Mekesh	42.337924	47.510751	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Mekesh	42.337924	47.510751	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kul'kibekmakhi	42.339694	47.56167	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kul'kibekmakhi	42.339694	47.56167	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Alkhadzhakent	42.340016	47.79177	Kumyk	Kipchak	Turkic	grey60			
Alkhadzhakent	42.340016	47.79177	Kumyk	Kipchak	Turkic	grey60			
Verkhnie Kabkomakhi	42.34176	47.43688	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Kabkomakhi	42.34176	47.43688	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kurkabi	42.34194	47.20056	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kurkabi	42.34194	47.20056	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsudakhar	42.3425	47.1606	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsudakhar	42.3425	47.1606	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tebekmakhi	42.3431	47.2072	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tebekmakhi	42.3431	47.2072	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsukhta	42.34352	47.32396	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsukhta	42.34352	47.32396	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsukhta	42.34352	47.32396	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tsukhta	42.34352	47.32396	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Makhargimakhi	42.34665	47.62254	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Makhargimakhi	42.34665	47.62254	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Guladtymakhi	42.34823	47.23927	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Guladtymakhi	42.34823	47.23927	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chuni	42.34832	47.30303	Avar	Avar	Nakh-Daghestanian	yellow			
Chuni	42.34832	47.30303	Avar	Avar	Nakh-Daghestanian	yellow			
Urtsamakhi	42.34854	47.276792	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Urtsamakhi	42.34854	47.276792	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tlyatsuda	42.34923	45.92493	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Tlyatsuda	42.34923	45.92493	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Gerga	42.3497	47.9628	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Gerga	42.3497	47.9628	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Inkuchimakhi	42.35029	47.17345	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Inkuchimakhi	42.35029	47.17345	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Labkomakhi	42.35084	47.41873	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Labkomakhi	42.35084	47.41873	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Dingo	42.35347	47.18138	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Dingo	42.35347	47.18138	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khvarshi	42.353471	46.107859	Xvarshi	Tsezic	Nakh-Daghestanian	deeppink3			
Khvarshi	42.353471	46.107859	Xvarshi	Tsezic	Nakh-Daghestanian	deeppink3			
Karlabko	42.3542	47.3967	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Karlabko	42.3542	47.3967	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tarlimakhi	42.35587	47.17157	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tarlimakhi	42.35587	47.17157	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Karekadani	42.35747	47.13098	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Karekadani	42.35747	47.13098	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khabkaymakhi	42.35782	47.59091	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khabkaymakhi	42.35782	47.59091	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Suleybakent	42.35785	47.37355	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Suleybakent	42.35785	47.37355	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kumamakhi	42.35849	47.19214	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kumamakhi	42.35849	47.19214	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tazirkent	42.35863	47.3576	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tazirkent	42.35863	47.3576	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ratlub	42.359268	46.433433	Avar	Avar	Nakh-Daghestanian	yellow			
Ratlub	42.359268	46.433433	Avar	Avar	Nakh-Daghestanian	yellow			
Kuknamakhi	42.359775	47.286853	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kuknamakhi	42.359775	47.286853	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chabazimakhi	42.360297	47.570316	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chabazimakhi	42.360297	47.570316	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Gurgumakhi	42.36056	47.19222	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Gurgumakhi	42.36056	47.19222	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Musul'temakhi	42.362154	47.188584	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Musul'temakhi	42.362154	47.188584	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Susakent	42.36361	47.35248	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Susakent	42.36361	47.35248	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aymaumakhi	42.363756	47.575203	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aymaumakhi	42.363756	47.575203	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kusamakhi	42.36441	47.270869	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kusamakhi	42.36441	47.270869	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Shalasi	42.36514	47.91961	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Shalasi	42.36514	47.91961	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kommuna	42.3656	46.9686	Avar	Avar	Nakh-Daghestanian	yellow			
Kommuna	42.3656	46.9686	North Azerbaijani	West Oghuz	Turkic	grey60			
Kommuna	42.3656	46.9686	Avar	Avar	Nakh-Daghestanian	yellow			
Kommuna	42.3656	46.9686	North Azerbaijani	West Oghuz	Turkic	grey60			
Mitluda	42.36693	45.94512	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Mitluda	42.36693	45.94512	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Verkhnie Ubekimakhi	42.36823	47.24298	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Ubekimakhi	42.36823	47.24298	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ebdalaya	42.3683	47.3433	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ebdalaya	42.3683	47.3433	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Allate	42.369057	47.184036	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Allate	42.369057	47.184036	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aynikab	42.369307	47.216093	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aynikab	42.369307	47.216093	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Burtanimakhi	42.37097	47.14988	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Burtanimakhi	42.37097	47.14988	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chagni	42.37289	47.21879	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chagni	42.37289	47.21879	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ulluaya	42.3747	47.3756	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ulluaya	42.3747	47.3756	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aysalakak	42.374896	47.474825	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aysalakak	42.374896	47.474825	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ayalizimakhi	42.37684	47.60746	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ayalizimakhi	42.37684	47.60746	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khasakent	42.37754	47.34265	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khasakent	42.37754	47.34265	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kardmakhi	42.37842	47.46472	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kardmakhi	42.37842	47.46472	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kardamakhi	42.37861	47.46639	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kardamakhi	42.37861	47.46639	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Dagbash	42.380347	46.351961	Avar	Avar	Nakh-Daghestanian	yellow			
Dagbash	42.380347	46.351961	Avar	Avar	Nakh-Daghestanian	yellow			
Naskent	42.38093	47.33624	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Naskent	42.38093	47.33624	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ditunshimakhi	42.381665	47.289692	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ditunshimakhi	42.381665	47.289692	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Zhamsory	42.382089	47.462508	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Zhamsory	42.382089	47.462508	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tagirkent	42.3827	47.33326	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tagirkent	42.3827	47.33326	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Usemikent	42.3836	47.8681	Kumyk	Kipchak	Turkic	grey60			
Usemikent	42.3836	47.8681	Kumyk	Kipchak	Turkic	grey60			
Santlada	42.38431	46.07505	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Santlada	42.38431	46.07505	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Kayakent	42.3847	47.9044	Kumyk	Kipchak	Turkic	grey60			
Kayakent	42.3847	47.9044	Kumyk	Kipchak	Turkic	grey60			
Tarlankak	42.385886	47.475817	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tarlankak	42.385886	47.475817	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Shinkalabukhna	42.386144	47.471707	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Shinkalabukhna	42.386144	47.471707	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Silta	42.38728	47.07127	Avar	Avar	Nakh-Daghestanian	yellow			
Silta	42.38728	47.07127	Avar	Avar	Nakh-Daghestanian	yellow			
Sagada	42.38941	45.91798	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Sagada	42.38941	45.91798	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Nizhnie Arshi	42.389598	47.141386	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Arshi	42.389598	47.141386	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tlyakh	42.389928	46.540021	Avar	Avar	Nakh-Daghestanian	yellow			
Tlyakh	42.389928	46.540021	Avar	Avar	Nakh-Daghestanian	yellow			
Kvantlada	42.39204	46.06382	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Kvantlada	42.39204	46.06382	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Novokayakent	42.3922	47.9878	Kumyk	Kipchak	Turkic	grey60			
Novokayakent	42.3922	47.9878	Kumyk	Kipchak	Turkic	grey60			
Nizhnie Ubekimakhi	42.392787	47.20548	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Nizhnie Ubekimakhi	42.392787	47.20548	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Metrada	42.393034	45.888954	Avar	Avar	Nakh-Daghestanian	yellow			
Metrada	42.393034	45.888954	Avar	Avar	Nakh-Daghestanian	yellow			
Kakamakhi	42.39507	47.30644	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kakamakhi	42.39507	47.30644	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khushet	42.39721	45.77278	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Khushet	42.39721	45.77278	Tsez	Tsezic	Nakh-Daghestanian	brown1			
Mekegi	42.3978	47.4625	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Mekegi	42.3978	47.4625	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Adukmakhi	42.39928	47.401891	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Adukmakhi	42.39928	47.401891	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Arshi	42.40006	47.12529	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Verkhnie Arshi	42.40006	47.12529	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khuchada	42.400235	46.469178	Avar	Avar	Nakh-Daghestanian	yellow			
Khuchada	42.400235	46.469178	Avar	Avar	Nakh-Daghestanian	yellow			
Aymazimakhi	42.401788	47.525794	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Aymazimakhi	42.401788	47.525794	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khamagib	42.402538	46.850422	Avar	Avar	Nakh-Daghestanian	yellow			
Khamagib	42.402538	46.850422	Avar	Avar	Nakh-Daghestanian	yellow			
Myurego	42.4042	47.6894	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Myurego	42.4042	47.6894	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Utamysh	42.4047	47.7492	Kumyk	Kipchak	Turkic	grey60			
Utamysh	42.4047	47.7492	Kumyk	Kipchak	Turkic	grey60			
Ayamakhi	42.40528	47.5725	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Ayamakhi	42.40528	47.5725	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Obonub	42.40556	46.83972	Avar	Avar	Nakh-Daghestanian	yellow			
Obonub	42.40556	46.83972	Avar	Avar	Nakh-Daghestanian	yellow			
Enseruda	42.40611	46.85278	Avar	Avar	Nakh-Daghestanian	yellow			
Enseruda	42.40611	46.85278	Avar	Avar	Nakh-Daghestanian	yellow			
Chonob	42.407667	46.853808	Avar	Avar	Nakh-Daghestanian	yellow			
Chonob	42.407667	46.853808	Avar	Avar	Nakh-Daghestanian	yellow			
Tashkapur	42.40805	47.17095	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Tashkapur	42.40805	47.17095	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Egeda	42.409124	46.844276	Avar	Avar	Nakh-Daghestanian	yellow			
Egeda	42.409124	46.844276	Avar	Avar	Nakh-Daghestanian	yellow			
Nizhnie Khvarshini	42.4108	45.8697	Avar	Avar	Nakh-Daghestanian	yellow			
Nizhnie Khvarshini	42.4108	45.8697	Avar	Avar	Nakh-Daghestanian	yellow			
Verkhnie Khvarshini	42.41088	45.84551	Avar	Avar	Nakh-Daghestanian	yellow			
Verkhnie Khvarshini	42.41088	45.84551	Avar	Avar	Nakh-Daghestanian	yellow			
Inkhokvari	42.410888	46.044877	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Inkhokvari	42.410888	46.044877	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Akhinets	42.412612	47.113872	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Akhinets	42.412612	47.113872	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Irgali	42.41281	47.13538	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Irgali	42.41281	47.13538	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Lakhchayda	42.41345	46.8378	Avar	Avar	Nakh-Daghestanian	yellow			
Lakhchayda	42.41345	46.8378	Avar	Avar	Nakh-Daghestanian	yellow			
Kundurkhe	42.41424	47.11507	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Kundurkhe	42.41424	47.11507	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khvayni	42.415087	45.968736	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Khvayni	42.415087	45.968736	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Rosutl'	42.41533	46.8308	Avar	Avar	Nakh-Daghestanian	yellow			
Rosutl'	42.41533	46.8308	Avar	Avar	Nakh-Daghestanian	yellow			
Ala	42.415472	46.837085	Avar	Avar	Nakh-Daghestanian	yellow			
Ala	42.415472	46.837085	Avar	Avar	Nakh-Daghestanian	yellow			
Verkhnee Inkhokvari	42.415524	46.065273	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Verkhnee Inkhokvari	42.415524	46.065273	Inkhoqwari	Tsezic	Nakh-Daghestanian	deeppink			
Chakhimakhi	42.41564	47.56038	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Chakhimakhi	42.41564	47.56038	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Degva	42.4161	47.5372	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Degva	42.4161	47.5372	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khadzhalmakhi	42.4186	47.1817	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Khadzhalmakhi	42.4186	47.1817	Dargwa	Dargwa	Nakh-Daghestanian	blue			
Dadulazda	42.4189	46.80373	Avar	Avar	Nakh-Daghestanian	yellow			
